item_id,upper_category,sub_category,brand,things,price,description,delivery_charge,picture_url,qty,username
B4-003,잡화,주얼리,제이에스티나,Crystal Stella 귀걸이목걸이 3종 택1,25000,테두리 롤렛 처리가 가미되어 더욱 섬세한 디테일을 살린 디자인입니다. 회이트 컬러의 베이직 스타일로 데일리 아이템으로 추천합니다.,2500,B4-003.jpg,1,리복
B4-004,잡화,주얼리,제이에스티나,제이에스티나 귀걸이 목걸이 8종 택1,31000,마치 별똥별이 떨어지는 모습을 형상화한 디자인입니다. 귀볼라인을 따라 자연스럽게 착용하여 발랄하게 연출할 수 있는 아이템입니다.,2000,B4-004.jpg,3,리복
B4-005,잡화,주얼리,제이에스티나,제이에스티나 Modish Simple 목걸이 3종 택1,28400,블랙 삼각스톤이 세련되고 깔끔하게 세팅되어진 베이직 디자인입니다.,2500,B4-005.jpg,2,리복
B4-006,잡화,주얼리,빈티지 헐리우드,패션팔찌 9종 택1,14000,패션팔찌,2500,B4-006.jpg,4,리복
B4-007,잡화,주얼리,메트로시티,팔찌2종택1 0374br0375mpbr2,33000,볼륨감이 있는 체인에 메트로시티 M로고가 포인트인 세련된 팔찌,2000,B4-007.jpg,4,리복
B4-008,잡화,주얼리,타티아나,클래식 이디엄 큐빅 팔찌,19800,클래식한 스타일의 심플한 이디엄 큐빅 팔찌입니다. 최고급 큐빅을 사용하여 빛이 오랫동안 지속되며 기술력있는 세공으로 몇 년을 사용하셔도 처음의 상태로 유지하실 수 있는 고급 제품입니다. ,2500,B4-008.jpg,5,리복
B4-009,잡화,주얼리,필그림,faminine allure_22141-xxx2,75000,다양한 컬러와 소재의 믹스로 레어어드 연출이 용이한 패브릭 팔찌로 손목이 얇아보이는 착시효과가 있는 트렌디한 아이템입니다.,0,B4-009.jpg,2,리복
B4-010,잡화,주얼리,리드박스,스위트 하트 참 팔찌L0002_00073,40500,화이트 무나노 글래스 장식안에 클리어 큐빅을 안에 넣어 화려하고 청순한 느낌마져 듭니다. 가운데 달랑이는 참은 크림빛과 핑크빛이 섞여있는 천연진주를 사용했습니다. ,0,B4-010.jpg,5,리복
B5-001,잡화,명품,프라다,PRADA BN1874 NERO SAFFIANO LUX,20769600,PRADA BN1874 NERO SAFFIANO LUX - 원산지 이태리 프라다 하드케이스쇼핑백,0,B5-001.jpg,66,리복
B5-002,잡화,명품,멀버리,여성 가방 / 릴리 백 / HH1567 874 J191,1319000,영국 전통의 클래식함과 럭셔리함을 느낄 수 있는 제품입니다. 엄선된 천연 가죽 수공예품으로 사용할수록 브랜드 고유의 자연스러움과 부드러움이 느껴집니다. ,0,B5-002.jpg,,
B5-003,잡화,명품,입생로랑,뉴카바시크 / 311208 BJ50J 5604 / 여성 토트백,2078000,2014SS 생로랑 뉴카바시크 토트백,0,B5-003.jpg,3,김성종
B5-004,잡화,명품,끌로에,마르씨 미디움 / 3S0917 161 22F / 여성 토트겸숄더백,1266000,2013FW 끌로에 마르씨 미디움 토트겸 숄더백,0,B5-004.jpg,3,김성종
B5-005,잡화,명품,돌체앤가바나,남성 스니커즈 / 하이탑 / CS1091 A4090 80999,456000,2013년 F/W 신상 돌체앤가바나의 남성 하이탑 스니커즈. 스포티하고 클래식한 하이탑 디자인으로 돌체앤가바나 로고가 멋스럽습니다. 발의 편안함을 더했으며 키높이 기능과 튼튼한 고무 바닥창으로 미끄럼 방지가 되며 착화감이 우수합니다. ,0,B5-005.jpg,4,김성종
B5-006,잡화,명품,비비안웨스트우드,VW799/AN821/AN798/AN800/VW804,250000,고급스럽고 심플한 스타일. 세련되고 심플한 부드러운 스퀘어 안구 쉐이브에 심플한 프레임 라인으로 멋을 준 제품입니다. 슬림하게 이어진 다리 라인에 비비안웨스트우드만의 ORB 로고 디테일이 고급스러워 보입니다. 유행에 민감하지 않은 베이직한 디자인에 비비안웨스트우드 만의 스타일리시함이 느껴집니다. 연령대 상관없이 착용하기 좋은 디자인으로 심플함을 강조한 인기 아이템입니다.,0,B5-006.jpg,,
B5-007,잡화,명품,톰포드,TF9258/TF211/TF9260/TF9257,355000,"클래식한 레트로풍 뿔테 디자인. 부드러운 라인의 스퀘어 안구 쉐이브에 톰포드 만의 빈티지함과 복고풍의 멋이 느껴지는 제품입니다. 프론트 프레임에 로고 시그니처와 템플 라인에 톰포드의 상징인 “T” 장식으로 포인트를 주어 빈티지하면서 고급스러워 보이는 스타일로 선글라스 뿐만 아니라 안경테로도 착용 가능합니다. 요즘 떠오르는 트렌디한 디자인으로 남녀 모두에게 인기를 끌고 있는 톰포드의 패셔너블한 모델입니다. 톰포드의 스테디 셀러인 ""TF211"" 후속 모델로 좀 더 부드러운 클래식한 디자인 입니다.",0,B5-007.jpg,,
