item_id,upper_category,sub_category,brand,things,price,description,delivery_charge,picture_url,qty
A1-001,화장품,스킨케어,로레알 파리,이드라후레쉬 수분크림 레노,51000,건강하고 생기 넘치는 촉촉한 피부를 위해 여러분도 이드라 후레쉬 수프림 에멀전으로 건강하고 생기 넘치는 피부를 경험해보세요. ,0,A1-001.jpg,1
A1-002,화장품,스킨케어,라네즈,워터뱅크모이스춰크림 50ML,35000,강력한 수분 공급 효과와 풍부한 사용감. 피부 턴 오버에 도움을 주는 미네랄 워터와 수분 순환을 도와주는 워터펌프 시스템 ,2500,A1-002.jpg,1
A1-003,화장품,스킨케어,클라란스,하이드라퀀치 멜트 4종 세트,60000, 피부를 촉촉하게 하는 알로에베라 민감성 토너 피부는 촉촉하고 부드러워지며 PH 발란스를 유지해줍니다. 촉촉한 피부로 유지해주는 수분 에센스 피부 유수분 밸런스룰 유지하여 피부를 촉촉하게 유지해 줍니다. 3중 보호 작용 자외선 차단제 도시생활에 필요한 이상적인 3중 보호막을 형성하여 색소 침착 방지에 도움을 줍니다. 3중 보호 작용 자외선 차단제 도시생활에 필요한 이상적인 3중 보호막을 형성하여 색소 침착 방지에 도움을 줍니다.,0,A1-003.jpg,1
A1-004,화장품,스킨케어,빌리프,더 트루 크림 모이스춰라이징 밤 세트,38000,강력한 보습효과의 Comfrey Leaf와 Napiers moisture formula가 함유되어 부드럽고 촉촉한 피부로 가꾸어주는 지속 효과의 크림입니다. ,2000,A1-004.jpg,1
A1-005,화장품,스킨케어,비오템,아쿠아수르스 수분크림 점보 125ml 세트,77000,특허 보습 성분 마노스가 함유되어 차원이 다른 깊은 보습을 선사하는 비오템의 셀러 수분 크림 차세대 보습 성분 마노스가 피부 깊숙이 수분을 공급하여 48시간 동안 수분감을 지속 시켜 줍니다. 산뜻한 텍스처로 한 번 발라도 다섯 번 바른 것처럼 깊은 촉촉함을 선사합니다. (중복합용 젤 타입),0,A1-005.jpg,1
A1-006,화장품,스킨케어,키엘,NEW 쿨링 수분 젤 크림 125ml 점보 사이즈 세트,68400,바르는 즉시 피부 온도를 낮추며 쿨하게 수분을 채우고 산뜻하게 피지를 잡아주는 신제품 쿨링 수분 젤 크림의 대용량 한정판입니다.  빙하 당단백질 추출물과 사막 식물 추출물이 피부에 촉촉한 수분을 공급합니다. 키엘만의 보습 컨디셔너 성분이 피부 표면의 피지와 결합하여 번들거리지 않게 케어 해 주며 맨톨 유도체가 상쾌하고 시원한 쿨링 효과를 주어 피부를 진정시켜 줍니다. 또한 마일드 포뮬라가 피부를 편안하게 해 줍니다. (알러지 테스트 완료 모공을 막고 트러블을 유발하지 않는다고 확인된 논 코메도제닉 테스트 완료),0,A1-006.jpg,1
A1-007,화장품,스킨케어,설화수,탄력크림 세트,91000,의이인 성분이 피부를 맑게 하고 은행잎 성분이 피부를 탄력있게 가꾸어 줍니다. 피부에 착 감기듯이 기분 좋게 밀착되어 피부를 안팎으로 탄탄하게 잡아줍니다.,0,A1-007.jpg,1
A1-008,화장품,스킨케어,에스케이투,스템파워 크림 80g 세트,170000,SK-II만의 스템파워 테크놀로지가 피부 탄력의 근원에 작용하여 10일 후 촉촉함 탄력 줄어 보이는 모공까지 속부터 어려진 동안 피부로 케어 해 주는 촉촉하고 산뜻한 타입의 크림입니다.,0,A1-008.jpg,1
A1-009,화장품,스킨케어,오휘,하이드라포뮬라 바이탈 젤크림세트,63000,녹아들듯 스며드는 강력한 보습 공급으로 바르는 즉시 물머금은듯 투명한 피부로 가꾸어주는 젤 포뮬러 보습 크림입니다.,0,A1-009.jpg,1
A1-010,화장품,스킨케어,프리메라,알파인 베리 워터리 크림 세트,35000,알파인 스트로베리와 알로에 베라 잎 추출물이 피부에 풍부한 수분을 공급하며 비타민C 케라티노이트 성분을 함유한 파파야 열매 추출물이 피부에 생기를 부여하는 크림,2000,A1-010.jpg,1
A2-001,화장품,메이크업,헤라,UV 미스트쿠션 AD 리필 2입 세트,38000,  미스트+파운데이션+선블록+미백+쿨링의 5가지 기능이 촉촉한 광채 피부를 연출하는 멀티 선블록 파운데이션,0,A2-001.jpg,1
A2-002,화장품,메이크업,안나수이,로즈 치크 컬러,21500,4가지 컬러 모두 믹스하여 터치할 경우 동양인 피부에 맞는 자연스러운 컬러 연출 가능. ,2000,A2-002.jpg,1
A2-003,화장품,메이크업,메이크업 포에버,프로피니쉬 세트,53200,멀티&이지&퀵. 즉각적인 결광효과. 트리플로 지켜주는 촉촉함. ,0,A2-003.jpg,1
